ID_ARTICOL,ARTICOL,DATA,CANTITATE,VAL_IESIRE_CU_TVA,VAL_IESIRE_FARA_TVA,VAL_INTRARE_FARA_TVA_STOC,TOTAL_DISCOUNT,FLAG_PROMOTIE,ADAOS,STOC,STOC_INITIAL,STOC_FINAL,RUPTURA_STOC
8259,CARNE PORC LUCRU,15-Jan-23,61.8,988.18,906.57,822.50238,0,0,84.06762,9.954,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,15-Jan-23,123,601.47,552.19,420.659996,0,0,131.530004,531,,,0
6937,BANANE CALITATEA I.,15-Jan-23,98.958,790.65,725.36,706.075223,0,0,19.284777,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,16-Jan-23,107,523.23,480.41,365.939991,0,0,114.470009,531,,,0
6937,BANANE CALITATEA I.,16-Jan-23,122.072,975.35,894.8,870.995932,0,0,23.804068,202.512,,,0
7784,CLEMENTINE CALITATEA I,16-Jan-23,246.046,1473.81,1352.11,970.651474,0,0,381.458526,1175.383,,,0
8259,CARNE PORC LUCRU,16-Jan-23,30.652,490.12,449.66,407.950534,0,0,41.709466,9.954,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,16-Jan-23,1,30.59,28.06,18.6,0,0,9.46,198,,,0
6937,BANANE CALITATEA I.,17-Jan-23,117.662,940.13,862.5,839.764139,0,0,22.735861,202.512,,,0
7784,CLEMENTINE CALITATEA I,17-Jan-23,98.054,587.34,538.87,386.823027,0,0,152.046973,1175.383,,,0
8259,CARNE PORC LUCRU,17-Jan-23,27.151,434.13,398.27,361.355374,0,0,36.914626,9.954,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,17-Jan-23,141,689.49,633.04,482.219997,0,0,150.820003,531,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,17-Jan-23,1,30.59,28.06,18.6,0,0,9.46,198,,,0
6937,BANANE CALITATEA I.,18-Jan-23,101.138,808.05,741.25,722.125323,0,0,19.124677,202.512,,,0
7784,CLEMENTINE CALITATEA I,18-Jan-23,132.16,791.7,726.31,521.371201,0,0,204.938799,1175.383,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,18-Jan-23,83,405.87,372.62,283.86,0,0,88.76,531,,,0
7784,CLEMENTINE CALITATEA I,19-Jan-23,152.25,911.98,836.63,600.626247,0,0,236.003753,1175.383,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,19-Jan-23,85,415.65,381.65,290.7,0,0,90.95,531,,,0
6937,BANANE CALITATEA I.,19-Jan-23,147.978,1182.32,1084.68,1056.562916,0,0,28.117084,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,20-Jan-23,100,489,448.98,341.999997,0,0,106.980003,531,,,0
6937,BANANE CALITATEA I.,20-Jan-23,87.548,699.51,641.71,577.347287,0,0,64.362713,202.512,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,20-Jan-23,1,30.59,28.06,18.6,0,0,9.46,198,,,0
7784,CLEMENTINE CALITATEA I,20-Jan-23,189.162,1133.01,1039.44,771.338709,0,0,268.101291,1175.383,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,21-Jan-23,93,454.77,417.57,318.06,0,0,99.51,531,,,0
6937,BANANE CALITATEA I.,21-Jan-23,119.038,951.16,872.67,816.942751,0,0,55.727249,202.512,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,21-Jan-23,1,30.59,28.06,18.6,0,0,9.46,198,,,0
7784,CLEMENTINE CALITATEA I,21-Jan-23,136.642,818.47,750.85,564.112839,0,0,186.737161,1175.383,,,0
8259,CARNE PORC LUCRU,21-Jan-23,24.314,388.78,356.67,323.597456,0,0,33.072544,9.954,,,0
7784,CLEMENTINE CALITATEA I,22-Jan-23,89.86,538.23,493.76,370.978024,0,0,122.781976,1175.383,,,0
8259,CARNE PORC LUCRU,22-Jan-23,19.996,319.74,293.33,266.128763,0,0,27.201237,9.954,,,0
6937,BANANE CALITATEA I.,22-Jan-23,88.718,708.88,650.34,633.446521,0,0,16.893479,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,22-Jan-23,114,557.46,511.86,389.88,0,0,121.98,531,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,23-Jan-23,3,91.77,84.18,55.8,0,0,28.38,198,,,0
6937,BANANE CALITATEA I.,23-Jan-23,156.81,1252.9,1149.35,1119.218448,0,0,30.131552,202.512,,,0
8259,CARNE PORC LUCRU,23-Jan-23,15.146,242.18,222.19,191.467501,0,0,30.722499,9.954,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,23-Jan-23,86,420.54,386.14,294.12,0,0,92.02,531,,,0
7784,CLEMENTINE CALITATEA I,23-Jan-23,153.476,765.82,702.53,633.610311,153.476,1,68.919689,1175.383,,,0
8259,CARNE PORC LUCRU,24-Jan-23,17.458,279.16,256.12,210.925811,0,0,45.194189,9.954,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,24-Jan-23,2,61.18,56.12,37.2,0,0,18.92,198,,,0
6937,BANANE CALITATEA I.,24-Jan-23,77.526,619.39,568.24,553.306035,0,0,14.933965,202.512,,,0
7784,CLEMENTINE CALITATEA I,24-Jan-23,190.729,951.7,873.12,787.405602,190.729,1,85.714398,1175.383,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,24-Jan-23,128,625.92,574.69,437.75999,0,0,136.93001,531,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,25-Jan-23,4,122.36,112.24,74.4,0,0,37.84,198,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,25-Jan-23,73,356.97,327.75,249.659998,0,0,78.090002,531,,,0
7784,CLEMENTINE CALITATEA I,25-Jan-23,250.018,1247.46,1144.51,1032.174316,250.018,1,112.335684,1175.383,,,0
8259,CARNE PORC LUCRU,25-Jan-23,10.296,164.63,151.03,124.395243,0,0,26.634757,9.954,,,0
6937,BANANE CALITATEA I.,25-Jan-23,81.952,654.79,600.69,584.735718,0,0,15.954282,202.512,,,0
7784,CLEMENTINE CALITATEA I,26-Jan-23,129.142,644.34,591.16,533.14983,129.142,1,58.01017,1175.383,,,0
6937,BANANE CALITATEA I.,26-Jan-23,66.54,531.64,487.74,474.769553,0,0,12.970447,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,26-Jan-23,101,493.89,453.48,345.419995,0,0,108.060005,531,,,0
6937,BANANE CALITATEA I.,27-Jan-23,112.866,901.8,827.35,805.310196,0,0,22.039804,202.512,,,0
7784,CLEMENTINE CALITATEA I,27-Jan-23,34.872,173.99,159.63,143.965567,34.872,1,15.664433,1175.383,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,27-Jan-23,92,449.88,413.04,314.640001,0,0,98.399999,531,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,27-Jan-23,1,30.59,28.06,18.6,0,0,9.46,198,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,28-Jan-23,96,469.44,430.98,328.319994,0,0,102.660006,531,,,0
6937,BANANE CALITATEA I.,28-Jan-23,115.106,919.76,843.88,821.292822,0,0,22.587178,202.512,,,0
7784,CLEMENTINE CALITATEA I,28-Jan-23,7.882,39.32,36.08,32.54005,7.882,1,3.53995,1175.383,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,29-Jan-23,91,444.99,408.57,339.1131,0,0,69.4569,531,,,0
6937,BANANE CALITATEA I.,29-Jan-23,81.52,651.38,597.58,495.9914,0,0,101.5886,202.512,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,30-Jan-23,1,30.59,28.06,18.6,0,0,9.46,198,,,0
7784,CLEMENTINE CALITATEA I,30-Jan-23,0.704,3.51,3.22,2.906394,0.704,1,0.313606,1175.383,,,0
6937,BANANE CALITATEA I.,30-Jan-23,93.28,745.32,683.8,665.562127,0,0,18.237873,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,30-Jan-23,94,459.66,422.06,321.48,0,0,100.58,531,,,0
8259,CARNE PORC LUCRU,30-Jan-23,6.526,104.35,95.73,78.846478,0,0,16.883522,9.954,,,0
6937,BANANE CALITATEA I.,31-Jan-23,88.834,709.77,651.18,633.839475,0,0,17.340525,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,31-Jan-23,96,469.44,431.02,328.319996,0,0,102.700004,531,,,0
6937,BANANE CALITATEA I.,01-Feb-23,81.016,647.33,593.9,578.057265,0,0,15.842735,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,01-Feb-23,94,459.66,422.04,321.479996,0,0,100.560004,531,,,0
21895,JACOBS KRONUNG CAFEA MACINATA 500 GR,01-Feb-23,2,61.18,56.12,37.2,0,0,18.92,198,,,0
6937,BANANE CALITATEA I.,02-Feb-23,80.588,643.92,590.73,557.342631,0,0,33.387369,202.512,,,0
8687,VEL PITAR PAINE ALBA FELIATA 500 GR,02-Feb-23,94,459.66,422.05,321.480001,0,0,100.569999,531,,,0
